episode,reward,moving_average_100
1066,-117.0,-139.71
1067,-200.0,-140.83
1068,-118.0,-140.87
1069,-105.0,-140.87
1070,-93.0,-139.95
1071,-160.0,-140.06
1072,-92.0,-139.85
1073,-138.0,-140.01
1074,-166.0,-140.71
1075,-110.0,-140.63
1076,-116.0,-140.55
1077,-144.0,-140.55
1078,-186.0,-140.95
1079,-189.0,-141.1
1080,-181.0,-141.42
1081,-111.0,-141.47
1082,-96.0,-140.97
1083,-108.0,-140.05
1084,-106.0,-139.11
1085,-96.0,-138.95
1086,-200.0,-139.55
1087,-92.0,-138.95
1088,-200.0,-139.64
1089,-111.0,-139.56
1090,-191.0,-139.96
1091,-110.0,-139.58
1092,-192.0,-140.05
1093,-89.0,-139.13
1094,-152.0,-139.22
1095,-179.0,-139.14
1096,-105.0,-138.25
1097,-103.0,-138.03
1098,-105.0,-137.47
1099,-170.0,-137.42
1100,-116.0,-137.5
1101,-105.0,-137.61
1102,-104.0,-137.68
1103,-115.0,-137.76
1104,-172.0,-138.26
1105,-200.0,-138.5
1106,-200.0,-138.78
1107,-92.0,-137.7
1108,-106.0,-137.25
1109,-159.0,-137.17
1110,-99.0,-137.32
1111,-200.0,-138.45
1112,-200.0,-139.37
1113,-109.0,-139.32
1114,-115.0,-139.25
1115,-87.0,-138.96
1116,-85.0,-138.35
1117,-200.0,-138.96
1118,-87.0,-138.11
1119,-115.0,-138.42
1120,-199.0,-139.57
1121,-107.0,-138.64
1122,-95.0,-138.69
